"","x","y","cell","Alder","Ash","Bald cypress","Basswood","Beech","Birch","Black gum","Black gum/sweet gum","Buckeye","Cherry","Chestnut","Dogwood","Elm","Hackberry","Hickory","Ironwood","Locust","Maple","Mulberry","No tree","Oak","Other hardwood","Poplar","Poplar/tulip poplar","Sweet gum","Sycamore","Tamarack","Tulip poplar","Unknown tree","Walnut","Willow"
"121",485000,262000,45654,0,14,0,0,0,0,0,0,0,0,0,0,16,0,37,0,0,8,0,63,73,2,0,0,0,2,0,0,0,0,0
"122",485000,278000,45062,0,3,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,6,0,0,7,0,0,0,0,1,0,0,0,0,0
"123",485000,302000,44174,0,0,0,2,0,0,0,0,1,0,0,0,7,0,25,0,1,3,1,104,63,0,0,0,0,2,0,0,2,1,0
"124",485000,326000,43286,0,0,0,0,0,0,0,0,0,0,0,0,2,1,11,0,1,0,0,162,35,0,0,0,0,1,0,0,2,1,0
"125",485000,414000,40030,0,0,0,0,0,0,0,0,2,0,0,0,3,3,3,0,0,0,1,181,15,0,0,0,0,0,0,0,0,1,0
"126",485000,438000,39142,0,1,0,1,0,0,0,0,0,0,0,0,2,0,5,0,1,3,1,160,24,0,0,0,0,0,0,0,1,3,0
"127",485000,510000,36478,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,1,0,102,90,0,0,0,0,0,0,0,0,0,0
"128",485000,598000,33222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,210,5,0,0,0,0,0,0,0,0,0,0
"129",485000,630000,32038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,105,106,0,0,0,0,0,0,0,0,0,0
"130",493000,142000,50095,0,4,0,0,0,0,0,13,0,2,0,18,10,0,27,0,0,3,3,4,99,2,0,1,0,0,0,0,1,3,0
"131",493000,190000,48319,0,7,0,0,0,0,0,1,0,0,0,0,5,0,41,0,0,9,2,32,114,2,0,0,0,0,0,0,5,0,0
"132",493000,206000,47727,0,3,0,0,0,0,0,0,0,1,0,0,13,0,28,0,1,0,0,50,100,0,0,0,0,0,0,0,0,0,0
"133",493000,278000,45063,0,4,0,0,0,0,0,0,0,0,0,0,18,2,21,0,0,0,0,104,57,0,0,0,0,2,0,0,0,0,0
"134",493000,478000,37663,0,1,0,0,0,0,0,0,0,1,0,0,1,0,9,0,0,1,0,152,37,1,0,0,0,0,0,0,0,1,0
"135",493000,558000,34703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,4,0,0,0,0,0,0,0,0,0,0
"136",493000,582000,33815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,169,19,0,0,0,0,0,0,0,0,0,0
"137",501000,118000,50984,0,20,0,0,1,0,14,3,0,0,0,31,6,2,6,0,1,17,3,2,83,1,0,3,0,1,0,0,0,0,0
"138",501000,158000,49504,0,0,0,0,0,1,3,0,0,0,0,1,4,0,9,0,3,3,1,0,184,3,0,0,0,0,0,0,0,0,0
"139",501000,262000,45656,0,6,0,0,0,0,0,0,0,4,0,0,3,0,17,0,0,0,0,79,95,1,0,0,0,0,0,0,0,0,0
"140",501000,294000,44472,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,2,2,0,140,39,0,0,0,0,1,0,0,1,5,0
"141",501000,358000,42104,0,3,0,0,0,0,0,0,0,0,0,0,3,0,16,0,0,1,0,172,19,0,0,0,0,0,0,0,0,0,0
"142",501000,406000,40328,0,0,0,2,0,0,0,0,0,0,0,0,6,0,8,0,0,0,1,139,31,0,0,0,0,0,0,0,2,2,0
"143",501000,438000,39144,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,194,2,0,0,0,0,0,0,0,0,0,1
"144",501000,462000,38256,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,4,0,192,7,0,0,0,0,0,0,0,0,0,0
"145",501000,526000,35888,0,3,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,8,0,159,36,0,0,0,0,0,0,0,0,3,0
"146",501000,606000,32928,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,186,3,0,0,0,0,0,0,0,0,0,0
"147",501000,670000,30560,0,4,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,106,82,0,5,0,0,0,0,0,0,0,0
"148",509000,102000,51577,0,11,5,0,0,0,3,25,0,0,0,7,22,0,16,0,0,19,5,11,56,2,0,4,6,0,0,0,1,4,0
"149",509000,166000,49209,0,2,0,0,0,0,2,0,0,3,0,0,6,0,7,0,1,0,0,3,176,2,0,0,0,0,0,0,0,1,0
"150",509000,246000,46249,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,132,57,0,0,0,0,0,0,0,0,0,0
"151",509000,334000,42993,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,1,0,0,167,30,0,2,0,0,0,0,0,0,1,0
"152",509000,382000,41217,0,1,0,1,0,0,0,0,2,2,0,0,13,2,12,0,0,2,0,61,89,0,0,0,0,1,0,0,1,2,0
"153",509000,494000,37073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0
"154",509000,566000,34409,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,3,0,0,0,0,0,0,0,0,0,0
"155",517000,126000,50690,0,2,0,0,0,0,14,3,0,0,0,23,6,0,12,1,0,8,3,0,114,0,0,2,0,1,0,0,2,5,0
"156",517000,222000,47138,0,9,0,0,0,1,0,0,0,0,0,0,2,0,14,0,0,1,0,19,161,0,0,0,0,1,0,0,1,0,0
"157",517000,270000,45362,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,188,20,0,0,0,0,0,0,0,0,0,0
"158",517000,318000,43586,0,4,0,0,0,0,0,0,0,0,0,0,28,5,8,0,3,0,0,110,46,0,0,0,0,0,0,0,1,5,0
"159",517000,350000,42402,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,205,5,0,0,0,0,0,0,0,0,0,0
"160",517000,518000,36186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0
"161",517000,566000,34410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0
"162",517000,574000,34114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
"163",517000,622000,32338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,6,0,0,0,0,0,0,0,0,0,0
"164",517000,646000,31450,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,155,46,0,0,0,0,0,0,0,0,0,0
"165",525000,110000,51283,0,7,0,0,0,0,3,2,0,0,0,28,12,0,23,0,1,0,1,3,96,0,0,3,1,0,0,0,0,1,0
"166",525000,198000,48027,0,5,0,0,0,0,0,0,0,0,0,1,3,0,32,0,0,0,0,15,131,1,0,0,0,1,0,0,1,1,0
"167",525000,214000,47435,0,1,0,0,0,1,0,2,0,0,0,0,8,0,23,0,1,3,0,29,148,0,0,0,0,0,0,0,0,0,1
"168",525000,230000,46843,0,0,0,0,0,0,1,2,0,0,0,0,8,0,20,0,0,1,1,7,162,1,0,0,3,0,0,0,1,0,0
"169",525000,358000,42107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,2,0,0,0,0,2,0,0,0,1,0
"170",525000,422000,39739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,116,73,0,0,0,0,0,0,0,0,0,0
"171",525000,438000,39147,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,206,8,0,0,0,0,0,0,0,0,1,0
"172",525000,478000,37667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,186,3,0,0,0,0,0,0,0,0,0,0
"173",525000,542000,35299,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,157,25,0,0,0,0,0,0,0,0,1,0
"174",525000,590000,33523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,6,0,0,0,0,0,0,0,0,0,0
"175",525000,662000,30859,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,145,61,0,0,0,0,0,0,0,0,0,0
"176",533000,142000,50100,0,13,0,0,0,0,0,11,0,0,0,4,24,4,15,0,3,7,3,18,49,6,0,0,4,0,0,0,9,0,0
"177",533000,294000,44476,0,0,0,0,0,0,0,0,0,0,0,0,13,5,14,0,3,7,6,35,120,0,1,0,0,4,0,0,0,1,0
"178",533000,318000,43588,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,2,0,0,200,6,0,0,0,0,0,0,0,0,0,0
"179",533000,358000,42108,0,1,0,0,0,0,0,0,0,0,0,0,9,0,10,0,0,0,0,170,18,1,0,0,0,0,0,0,0,5,0
